destination,season,article_count,total_views,median_views_per_day
Huế,Hè,1,7300.0,6.202209005947323
Huế,Thu,1,861.0,0.6089108910891089
Huế,Đông,1,845.0,0.6291883842144452
Hà Giang,Xuân,1,845.0,0.6637863315003928
Hà Giang,Hè,1,770.0,1.9201995012468829
Hà Giang,Đông,4,10491.0,2.2276281290966975
Hà Nội,Xuân,1,1200.0,0.974025974025974
Hà Nội,Thu,1,1600.0,4.938271604938271
Hà Nội,Đông,8,16453.0,1.0271100526354808
Hạ Long,Thu,2,1846.0,2.5267536424533446
Hạ Long,Đông,1,838.0,0.6277153558052434
Hội An,Xuân,1,997.0,0.7831893165750197
Hội An,Hè,1,1700.0,1.4667817083692838
Hội An,Thu,2,3600.0,1.2510655900904473
Mũi Né,Thu,2,2600.0,0.9036010662666556
Ninh Bình,Hè,1,2800.0,2.484472049689441
Ninh Bình,Đông,1,1200.0,0.9174311926605505
Phú Quốc,Xuân,1,1100.0,0.8921330089213301
Phú Quốc,Đông,3,5711.0,0.8029197080291971
Sa Pa,Xuân,3,11292.0,1.1244979919678715
Sa Pa,Thu,4,12700.0,2.5928640414621724
Sa Pa,Đông,1,989.0,0.7538109756097561
TP. Hồ Chí Minh,Xuân,1,1000.0,0.7782101167315175
TP. Hồ Chí Minh,Thu,3,3552.0,0.8565310492505354
TP. Hồ Chí Minh,Đông,2,2417.0,0.9050396219782957
Đà Lạt,Xuân,4,7240.0,0.7595439905014925
Đà Lạt,Hè,2,8100.0,4.351645125997349
Đà Lạt,Thu,5,7177.0,0.8368200836820083
Đà Lạt,Đông,5,11696.0,1.0924981791697015
Đà Nẵng,Xuân,2,6725.0,2.7900602987769934
Đà Nẵng,Thu,1,2000.0,1.394700139470014
Đà Nẵng,Đông,1,749.0,3.4357798165137616
